Player,Matches_Played,Total_Medals,Unique_Medals,Avg_Medals_Per_Match
ADD Zombie,2,7,4,3.5
ADDY WATER,1,14,9,14.0
ADDY604,20,105,19,5.25
ADEJ 117,1,12,7,12.0
ADIO 001,1,3,2,3.0
ADK ACE,1,10,8,10.0
ADM S Osman,5,21,9,4.2
ADMIRALAKBAR69,1,15,11,15.0
ADONIS86,2,16,10,8.0
ADRENALINE xoxo,2,3,3,1.5
ADTR 2nd Sux,2,30,13,15.0
ADUBBYAHERD,1,12,7,12.0
ADVPlacement11,1,5,5,5.0
ADamnBigMoose,1,4,1,4.0
ADeadlyFlamingo,2,20,14,10.0
ADeeC,1,12,4,12.0
ADeliciousMango,3,30,12,10.0
ADesireToKill,2,6,4,3.0
ADragonEmerges,1,32,12,32.0
ADroK1173,1,4,3,4.0
ADrunkTeacher,1,15,6,15.0
ADrunkenSeawolf,2,21,9,10.5
ADudeWithACape,1,13,4,13.0
ADurtyPig,1,7,4,7.0
AE Osiris,1,1,1,1.0
AER0 J,1,23,14,23.0
AERO SCDO,1,11,5,11.0
AES Blue,1,12,7,12.0
AEs Brooklands,1,7,4,7.0
AF Man,1,22,10,22.0
AF Reality,1,19,8,19.0
AF SOLOMAN 5000,2,15,7,7.5
AF3 I Alucard I,1,10,3,10.0
AFAR118,1,32,7,32.0
AFC AJ,1,6,2,6.0
AFFECTlNGS,1,5,3,5.0
AFFLIKT69,1,7,2,7.0
AFG pred OG,1,11,7,11.0
AFHAXE,1,8,6,8.0
AFK CoCoNuT,1,8,4,8.0
AFMansoh14,1,1,1,1.0
AFRICANBOOTYSC,2,10,4,5.0
AFRO GANGTER,2,18,3,9.0
AFStryker,1,3,3,3.0
AFT funkymonkey,2,19,10,9.5
AFTM Reclaimer,1,4,4,4.0
AFalloutFanBoy,1,12,4,12.0
AFatWhistlePig,2,18,10,9.0
AFishTuba,1,18,9,18.0
AFlaccidTiger,1,3,2,3.0
AFreakinYetti,1,11,5,11.0
AFroS bAcKHuRTs,1,5,3,5.0
AFunyunPotato,2,42,17,21.0
AFuzzySlippr,1,3,2,3.0
AG 573,2,9,6,4.5
AG Adamantium,1,19,10,19.0
AG DJTimez3,2,35,12,17.5
AG Pi0neer,1,23,4,23.0
AG Zigurous,7,99,12,14.14
AG trixyy,2,14,10,7.0
AG3NT MA1NE,1,5,4,5.0
AGABO,1,8,5,8.0
AGAMAS DORAL12,1,32,15,32.0
AGAMEMNON2,1,7,5,7.0
AGATONEGO,1,7,6,7.0
AGC REAPER VII,2,21,7,10.5
AGC VEN0M,1,4,2,4.0
AGE M MEMELOSKI,2,10,5,5.0
AGENT LUCKeY,4,55,16,13.75
AGENT MAINE 22,2,6,4,3.0
AGENT STEALTHn,1,9,4,9.0
AGENTofCH4OS,2,9,1,4.5
AGITATED NL,1,19,7,19.0
AGS Hammertime,4,58,8,14.5
AGUS NBA 1,1,20,11,20.0
AGUiLAl2,1,17,9,17.0
AGayTrollWizard,1,3,2,3.0
AGn Reker,1,1,1,1.0
AGuitarTurtle,3,34,14,11.33
AGuitarTurtleV2,1,11,5,11.0
AGuyCalledBlue,1,5,3,5.0
AGuyCalledRed,1,12,7,12.0
AGuyNamedEthan,1,5,4,5.0
AGuyWithAnXbox,1,2,2,2.0
AGv pro lz,1,15,9,15.0
AH Flobot,3,16,9,5.33
AHH THE BUTCHER,2,14,6,7.0
AHHHHHHHHH HI,2,9,4,4.5
AHOYBUTTERNUTZZ,1,20,14,20.0
AHRMERGERD,1,17,10,17.0
AHTIPTON,1,6,4,6.0
AHalogame,1,6,5,6.0
AHorde0fBabies,1,7,5,7.0
AHuCkLeBeRRy,1,6,6,6.0
AI2TiFACTS,1,3,3,3.0
AIDSx12B,1,4,4,4.0
AIM F0R FAME,1,5,3,5.0
AIM4Light,1,4,4,4.0
AINITHOINIY,1,26,13,26.0
AIRFORCE RC,1,37,16,37.0
AIexandar,1,16,8,16.0
AIexo,1,19,7,19.0
AImighty Jesus,1,5,3,5.0
AIpha Knight,1,4,4,4.0
AJ Ziggy18,1,33,10,33.0
AJ0055,2,18,4,9.0
AJ74u,3,41,6,13.67
AJ905,2,14,7,7.0
AJC0RTESE,1,17,12,17.0
AJD8281,1,14,3,14.0
AJEZZYBABY1,2,27,11,13.5
AJM PROF,1,8,6,8.0
AJM Ruler,1,9,5,9.0
AJM WaRrIoR,1,9,5,9.0
AJM0007,1,16,8,16.0
AJO,3,48,6,16.0
AJQwest,1,5,2,5.0
AJShoemaster v2,1,6,5,6.0
AJW,1,5,2,5.0
AJacck,7,50,14,7.14
AJewJitsuMaster,1,25,15,25.0
AJonnyOnTheSpot,1,22,9,22.0
AJuIcyPin3aPPle,1,7,5,7.0
AK BEAST MODE,2,32,15,16.0
AK Ball3r 9O7,1,5,3,5.0
AK DCDaGarila,1,5,3,5.0
AK DemonWolf,2,22,6,11.0
AK Dr X,1,7,4,7.0
AK FURY 13,1,7,7,7.0
AK Killer Mike,1,8,3,8.0
AK Loves You,4,48,8,12.0
AK MysteryMan,9,49,18,5.44
AK Valency,2,6,5,3.0
AK n3hfsung,2,27,13,13.5
AK147,1,17,9,17.0
AK27,2,11,4,5.5
AK27Killa,1,7,4,7.0
AK47 Saturne,1,10,6,10.0
AK47 Total WAR,1,11,4,11.0
AK49 Crybaby,1,19,9,19.0
AKA 12GAUGE,1,1,1,1.0
AKA BirdGame,1,8,4,8.0
AKA G0KU,6,72,18,12.0
AKA JAKKALS BC,1,15,4,15.0
AKA StoveTopped,1,11,8,11.0
AKA TH3 D3W,1,4,2,4.0
AKA The Titan,2,17,7,8.5
AKD Maverick,1,3,3,3.0
AKGV0710,1,3,2,3.0
AKICKNDACROTCH,1,15,10,15.0
AKINYEMI,1,11,6,11.0
AKIRAxDUZxKRUSH,2,23,13,11.5
AKMetal,1,10,2,10.0
AKTHOR71,1,3,3,3.0
AKWARD MAN,1,1,1,1.0
AKgotti101,1,4,3,4.0
AKiLLeZ DNA,1,12,7,12.0
AKmaacc10,2,33,10,16.5
AKneeToTheFace,1,20,3,20.0
AKnowledged,21,167,33,7.95
AKxAssassinx907,1,26,15,26.0
AKxD00M,3,70,7,23.33
AL07,1,9,3,9.0
AL0HA RJAY,1,31,10,31.0
AL13N M0NK3Y,3,14,8,4.67
AL375,1,11,3,11.0
ALAMAN 4,1,3,2,3.0
ALASKANXSNIPER,1,37,17,37.0
ALCATRAZ008,1,16,11,16.0
ALDO FLINK,1,23,9,23.0
ALE1125,1,11,2,11.0
ALEGENDKILLER77,6,41,19,6.83
ALEGENDOFCHIN,2,25,12,12.5
ALEJANDRO X09,2,15,9,7.5
ALEKX42B,1,20,7,20.0
ALEX 180SX,1,6,5,6.0
ALEX JOHN H117,1,14,11,14.0
ALEX MASTER 98,1,6,4,6.0
ALEX ORTON 666,1,6,5,6.0
ALEX in charge,1,5,4,5.0
ALEX1VA,6,75,10,12.5
ALEXANDER KOCH,16,135,20,8.44
ALEXANDERxLT,1,3,3,3.0
ALEXBERMUDEZ123,1,2,2,2.0
ALEXCR7CESARR10,3,26,10,8.67
ALEXISEGGS,1,16,10,16.0
ALEXISLOCOTE04,1,4,4,4.0
ALFA ROMEO RLD,4,32,10,8.0
ALFRED BEN,2,53,25,26.5
ALFatron,1,8,5,8.0
ALG Decogre CG,2,20,6,10.0
ALG ll12l93ll,1,15,6,15.0
ALHA kenny BODY,3,36,5,12.0
ALK Schaaaf,1,1,1,1.0
ALK Woody,1,4,3,4.0
ALL1BYE,1,15,10,15.0
ALLD3ADLY,4,41,16,10.25
ALLDAY31,1,3,3,3.0
ALLEYCATT24,1,2,2,2.0
ALLMAN05,2,6,6,3.0
ALLOVERURFACE,1,7,6,7.0
ALLURINGSTORM7,1,1,1,1.0
ALLWYMABEAN13,1,6,6,6.0
ALLY 79,1,16,5,16.0
ALM1GHTY,1,4,3,4.0
ALMARAZ 117,2,37,15,18.5
ALO21GUNNER,1,6,6,6.0
ALOCADOMEXICANO,1,10,7,10.0
ALOE81T71,1,15,9,15.0
ALONSO BKN,1,3,2,3.0
ALPALADENEY,2,5,5,2.5
ALPHA 1138x,2,37,15,18.5
ALPHA REX 117s,1,12,7,12.0
ALPHA085,1,9,4,9.0
ALPHA624,1,18,12,18.0
ALPHAxXqcXxLORD,1,1,1,1.0
ALRAHLO,1,8,6,8.0
ALUC11,1,5,5,5.0
ALVARO ALFA 117,2,37,13,18.5
ALVTacoFreak666,1,1,1,1.0
ALVY2512,1,32,15,32.0
ALWAYZ BURRx,4,42,23,10.5
ALZAMIL AZIZ,1,10,7,10.0
ALaBeastMode,1,3,3,3.0
ALaN AsHh,2,17,10,8.5
ALaughingChurro,1,37,18,37.0
ALazyWhiteGirl,1,14,3,14.0
ALeXuS RageBoy,1,19,6,19.0
ALegendaryPanda,2,15,8,7.5
ALimpTaco12,1,5,4,5.0
ALittleRaccoon,1,5,4,5.0
ALmex II,2,14,7,7.0
ALpH4 D3luX,4,23,6,5.75
AM Mysteryyy,2,32,7,16.0
AM3RICANPATR1OT,1,22,4,22.0
AM3RICANPSYCH00,1,10,6,10.0
AM444444R,1,14,8,14.0
AM8ITIONz,4,83,18,20.75
AMAZING ZUCO,1,6,5,6.0
AMAZINGJAKE43,1,7,5,7.0
AMAukes,1,1,1,1.0
AMB Ace,1,5,4,5.0
AMB Elementz,1,3,3,3.0
AMB Swift,1,1,1,1.0
AME Lightning,1,13,8,13.0
AMERICAN 10026,1,14,6,14.0
AMESmusic,1,5,5,5.0
AMMQ,1,16,9,16.0
AMORPH0US,1,9,5,9.0
AMP Storm,1,24,10,24.0
AMPD 0UT,1,18,9,18.0
AMR Hunter,1,21,11,21.0
AMURRIKAH,1,4,4,4.0
AManWithBigGuns,1,8,4,8.0
AMeXiBuM,2,11,6,5.5
AMechEngineer17,1,7,1,7.0
AMercilessPanda,1,1,1,1.0
AMillz44,2,20,8,10.0
AMusicalNutcase,2,21,10,10.5
AN ACTUAL SCRUB,1,10,7,10.0
AN AwSoMe PoSuM,1,9,7,9.0
AN EVIL VILLAIN,3,17,14,5.67
AN ILL INFANT,1,4,3,4.0
AN0NYMOUS KILLA,1,22,11,22.0
